task,task_label,item_id,item_label,base_prompt,axis,axis_definition
grant_proposal_abstract,Grant abstract,10,community air-quality sensing for asthma management,"Write a 500-700 word grant proposal abstract for a project on community air-quality sensing for asthma management. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,11,open captioning tools for small theater companies,"Write a 500-700 word grant proposal abstract for a project on open captioning tools for small theater companies. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,12,flood-risk mapping for coastal fishing communities,"Write a 500-700 word grant proposal abstract for a project on flood-risk mapping for coastal fishing communities. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,13,peer-support matching for first-generation college students,"Write a 500-700 word grant proposal abstract for a project on peer-support matching for first-generation college students. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,14,low-bandwidth telehealth for remote dialysis patients,"Write a 500-700 word grant proposal abstract for a project on low-bandwidth telehealth for remote dialysis patients. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,15,food-bank inventory forecasting for regional networks,"Write a 500-700 word grant proposal abstract for a project on food-bank inventory forecasting for regional networks. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,16,accessible voting-information guides for disabled voters,"Write a 500-700 word grant proposal abstract for a project on accessible voting-information guides for disabled voters. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,17,soil-health monitoring for smallholder cooperatives,"Write a 500-700 word grant proposal abstract for a project on soil-health monitoring for smallholder cooperatives. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,18,digital-literacy curricula for older refugees,"Write a 500-700 word grant proposal abstract for a project on digital-literacy curricula for older refugees. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,19,wildfire-smoke shelter routing for unhoused populations,"Write a 500-700 word grant proposal abstract for a project on wildfire-smoke shelter routing for unhoused populations. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,2,AI-assisted document triage for legal aid clinics,"Write a 500-700 word grant proposal abstract for a project on AI-assisted document triage for legal aid clinics. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,20,open-source hearing-screening for rural schools,"Write a 500-700 word grant proposal abstract for a project on open-source hearing-screening for rural schools. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,21,restorative-justice case tracking for youth diversion programs,"Write a 500-700 word grant proposal abstract for a project on restorative-justice case tracking for youth diversion programs. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,22,water-quality testing kits for tribal lands,"Write a 500-700 word grant proposal abstract for a project on water-quality testing kits for tribal lands. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,23,volunteer-coordination platforms for disaster response,"Write a 500-700 word grant proposal abstract for a project on volunteer-coordination platforms for disaster response. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,24,mental-health triage chat for crisis hotlines,"Write a 500-700 word grant proposal abstract for a project on mental-health triage chat for crisis hotlines. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,25,transit-accessibility audits for wheelchair users,"Write a 500-700 word grant proposal abstract for a project on transit-accessibility audits for wheelchair users. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,26,open textbook adaptation for vocational training,"Write a 500-700 word grant proposal abstract for a project on open textbook adaptation for vocational training. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,27,antibiotic-stewardship dashboards for community hospitals,"Write a 500-700 word grant proposal abstract for a project on antibiotic-stewardship dashboards for community hospitals. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,28,language-preservation archives for indigenous communities,"Write a 500-700 word grant proposal abstract for a project on language-preservation archives for indigenous communities. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,29,energy-bill assistance navigation for low-income households,"Write a 500-700 word grant proposal abstract for a project on energy-bill assistance navigation for low-income households. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,3,privacy-preserving analytics for small nonprofits,"Write a 500-700 word grant proposal abstract for a project on privacy-preserving analytics for small nonprofits. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,4,adaptive tutoring for community college algebra,"Write a 500-700 word grant proposal abstract for a project on adaptive tutoring for community college algebra. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,5,equipment-sharing dashboards for university research labs,"Write a 500-700 word grant proposal abstract for a project on equipment-sharing dashboards for university research labs. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,6,multilingual emergency communication templates,"Write a 500-700 word grant proposal abstract for a project on multilingual emergency communication templates. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,7,energy-aware scheduling for small manufacturers,"Write a 500-700 word grant proposal abstract for a project on energy-aware scheduling for small manufacturers. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,8,early-warning systems for school attendance interventions,"Write a 500-700 word grant proposal abstract for a project on early-warning systems for school attendance interventions. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,9,trust calibration in AI-assisted procurement,"Write a 500-700 word grant proposal abstract for a project on trust calibration in AI-assisted procurement. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
incident_postmortem,Incident postmortem,0,A feature flag rollout caused 18 percent of mobile users to see blank account balances for 42 minutes.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A feature flag rollout caused 18 percent of mobile users to see blank account balances for 42 minutes.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,1,"A background job retried failed invoice emails too aggressively and sent duplicates to 31,000 customers.","Write a blameless incident postmortem for this incident:

INCIDENT:
A background job retried failed invoice emails too aggressively and sent duplicates to 31,000 customers.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,10,A search index rebuild dropped filters for accessibility needs in a housing assistance portal.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A search index rebuild dropped filters for accessibility needs in a housing assistance portal.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,11,A payment processor webhook outage left subscription status out of sync for new customers.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A payment processor webhook outage left subscription status out of sync for new customers.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,12,A typo in an infrastructure variable routed staging traffic to a production analytics sink.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A typo in an infrastructure variable routed staging traffic to a production analytics sink.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,13,A rate limiter treated shared school IP addresses as abusive traffic and blocked student logins.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A rate limiter treated shared school IP addresses as abusive traffic and blocked student logins.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,14,A time zone conversion bug scheduled patient reminders one day late after daylight saving changes.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A time zone conversion bug scheduled patient reminders one day late after daylight saving changes.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,15,A model inference service exhausted GPU memory and returned generic recommendations for 54 minutes.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A model inference service exhausted GPU memory and returned generic recommendations for 54 minutes.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,16,"A file upload service accepted documents but failed virus scanning, delaying case review.","Write a blameless incident postmortem for this incident:

INCIDENT:
A file upload service accepted documents but failed virus scanning, delaying case review.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,17,"A rollback restored application code but not a matching database view, causing report failures.","Write a blameless incident postmortem for this incident:

INCIDENT:
A rollback restored application code but not a matching database view, causing report failures.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,18,A background cleanup task deleted draft grant applications older than 30 days instead of 90 days.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A background cleanup task deleted draft grant applications older than 30 days instead of 90 days.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,19,"A metrics exporter crashed after a library upgrade, leaving dashboards flat during an incident.","Write a blameless incident postmortem for this incident:

INCIDENT:
A metrics exporter crashed after a library upgrade, leaving dashboards flat during an incident.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,2,"A database migration locked a table used by checkout, increasing payment failures for 27 minutes.","Write a blameless incident postmortem for this incident:

INCIDENT:
A database migration locked a table used by checkout, increasing payment failures for 27 minutes.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,20,A localization fallback showed English-only emergency notices to Spanish-language users.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A localization fallback showed English-only emergency notices to Spanish-language users.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,21,A permissions migration briefly gave managers read access to archived customer notes.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A permissions migration briefly gave managers read access to archived customer notes.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,22,A mobile release disabled offline mode for field inspectors in low-connectivity areas.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A mobile release disabled offline mode for field inspectors in low-connectivity areas.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,23,A cron job generated duplicate payroll previews after a daylight saving time shift.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A cron job generated duplicate payroll previews after a daylight saving time shift.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,24,A new spam filter quarantined legitimate password reset emails for several enterprise domains.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A new spam filter quarantined legitimate password reset emails for several enterprise domains.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,25,A data pipeline backfill overwrote manually corrected vendor categories.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A data pipeline backfill overwrote manually corrected vendor categories.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,26,A feature experiment assigned all users to treatment after an experiment service timeout.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A feature experiment assigned all users to treatment after an experiment service timeout.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,27,"An SSO certificate rotation was not propagated to a regional cluster, blocking employee login.","Write a blameless incident postmortem for this incident:

INCIDENT:
An SSO certificate rotation was not propagated to a regional cluster, blocking employee login.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,28,A form validation change rejected hyphenated last names in a benefits application portal.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A form validation change rejected hyphenated last names in a benefits application portal.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,29,A log sampling change removed request IDs needed to debug intermittent checkout failures.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A log sampling change removed request IDs needed to debug intermittent checkout failures.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,3,A cache invalidation bug showed stale medication refill statuses in a clinic portal for two hours.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A cache invalidation bug showed stale medication refill statuses in a clinic portal for two hours.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,4,A third-party geocoding API rate limit broke address validation during a city permit deadline.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A third-party geocoding API rate limit broke address validation during a city permit deadline.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,5,A deployment changed a JSON field name and caused support ticket categorization to fail overnight.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A deployment changed a JSON field name and caused support ticket categorization to fail overnight.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,6,"A queue consumer fell behind after a schema change, delaying fraud alerts by up to three hours.","Write a blameless incident postmortem for this incident:

INCIDENT:
A queue consumer fell behind after a schema change, delaying fraud alerts by up to three hours.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,7,A CDN configuration update served an old JavaScript bundle to logged-in users in one region.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A CDN configuration update served an old JavaScript bundle to logged-in users in one region.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,8,A monitoring silence rule masked elevated error rates during a holiday traffic spike.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A monitoring silence rule masked elevated error rates during a holiday traffic spike.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
incident_postmortem,Incident postmortem,9,A batch import duplicated volunteer shift assignments for a disaster-response nonprofit.,"Write a blameless incident postmortem for this incident:

INCIDENT:
A batch import duplicated volunteer shift assignments for a disaster-response nonprofit.

Write 500-750 words. Include impact, timeline, contributing factors, root cause analysis, what went well, what went poorly, and concrete action items. Output only the postmortem.",incident_postmortem_quality,"Which postmortem is better, judged on precision of causal analysis, coherent timeline, blamelessness, specificity of contributing factors, and concreteness of action items?"
